TotalScore,TotalLevelsCrossed,TotalEnemiesKilled,TotalTimeRequired
500.0,3,9,1.65
450.0,3,8,1.41
900.0,3,15,2.51
500.0,3,9,2.78
350.0,3,6,1.06
990.0,4,16,3.16
1560.0,6,27,7.57
350.0,3,6,1.28
300.0,2,3,7.42
350.0,3,6,0.95
860.0,4,14,2.5
860.0,4,15,4.44
450.0,3,8,1.8
920.0,4,14,7.7
850.0,3,16,6.98
450.0,3,6,1.1
450.0,3,8,1.1
750.0,4,14,7.78
200.0,3,3,0.96
1010.0,4,18,7.54
600.0,4,11,2.61
